,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000012282.2,1.66043085677374,-0.834147882557639,3.58810330374029,-0.23247599412428,0.81616833042363,NA
ENSMUSG00000026649.14,1.66043085677374,-0.834147882557639,3.58810330374029,-0.23247599412428,0.81616833042363,NA
ENSMUSG00000038570.15,1.66043085677374,-0.834147882557639,3.58810330374029,-0.23247599412428,0.81616833042363,NA
ENSMUSG00000021098.14,2.07205573812513,-0.840656494599786,2.27425186278659,-0.369640895256759,0.711650075906767,NA
ENSMUSG00000062518.7,1.6727172768909,-0.84437886790223,3.65091616040665,-0.23127862454343,0.817098351697833,NA
ENSMUSG00000022211.9,1.65196255660594,-0.85298646235774,3.58079374097063,-0.238211559799734,0.811717011732932,NA
ENSMUSG00000022303.9,1.69010346000113,-0.860859242653294,3.63208090455694,-0.237015436956051,0.812644814472572,NA
ENSMUSG00000033177.13,2.26985317349106,-0.864278439549747,3.8144462604728,-0.22658031612762,0.820750099697638,NA
ENSMUSG00000060878.4,2.26985317349106,-0.864278439549747,3.8144462604728,-0.22658031612762,0.820750099697638,NA
ENSMUSG00000094091.3,2.1023595582308,-0.870558233219141,2.31020292945188,-0.376831932000748,0.706298508792987,NA
ENSMUSG00000069041.8,1.68163515983333,-0.879681939160913,3.62495741097788,-0.24267373086836,0.808258158954631,NA
ENSMUSG00000043931.10,2.16760908327772,-0.932426221615585,2.32238117979281,-0.401495770689449,0.688055151337654,NA
ENSMUSG00000061561.5,2.16760908327772,-0.932426221615585,2.32238117979281,-0.401495770689449,0.688055151337654,NA
ENSMUSG00000031224.6,2.20385639375755,-0.958909630489083,3.79813850297666,-0.252468315659782,0.800679101466557,NA
ENSMUSG00000054850.4,2.26509525084715,-1.00724384026647,2.31305940478521,-0.435459564152442,0.663228883466867,NA
ENSMUSG00000025529.14,1.81258117418034,-1.02598790256785,3.63602361603396,-0.282173057964611,0.777810815888535,NA
ENSMUSG00000090799.2,1.81258117418034,-1.02598790256785,3.63602361603396,-0.282173057964611,0.777810815888535,NA
ENSMUSG00000034245.10,2.26572646772543,-1.02733079571559,3.7807360202893,-0.271727724496612,0.785831382033237,NA
ENSMUSG00000098950.7,1084.06451286327,-1.02735404534261,2.12711778128465,-0.482979388533034,NA,NA
ENSMUSG00000089996.6,2.57892270257193,-1.04788112040583,1.66667458544477,-0.628725684999984,0.529528659685669,NA
ENSMUSG00000094695.2,1.38973970074092,-1.05551394972922,2.22139339141974,-0.475158499078192,0.634674004979246,NA
ENSMUSG00000073402.11,2.32857117691214,-1.07929030510641,3.81573075099096,-0.282852846686343,0.777289641923478,NA
ENSMUSG00000039851.11,1.8725575975134,-1.08450471378372,3.68623953060989,-0.294203538532476,0.768602376883939,NA
ENSMUSG00000073876.3,2.47143772464756,-1.16910125459167,1.70002864908643,-0.687695031033698,0.491644849769248,NA
ENSMUSG00000115463.1,2.23725348979471,-1.17955257924651,1.43368088650476,-0.82274416179335,0.410653496127491,NA
ENSMUSG00000047786.12,1.96473149158694,-1.19532254144777,3.67760630281024,-0.325027325664078,0.745160390638852,NA
ENSMUSG00000069302.5,2.13965713162595,-1.2042143433369,1.5912541150979,-0.756770607479506,0.44918730494574,NA
ENSMUSG00000106447.1,1.95626319141914,-1.21424999475619,3.6707112143255,-0.330794204136082,0.740799939094606,NA
ENSMUSG00000026065.8,2.50284475507486,-1.24885752424185,2.32525606519402,-0.537083869142665,0.591209682663298,NA
ENSMUSG00000052363.8,2.55485557773505,-1.25237931638044,1.49818865822829,-0.835928979639625,0.40319485818062,NA
ENSMUSG00000044309.8,2.05501173502566,-1.27809526070471,3.73226697994698,-0.342444757454855,0.732016210652649,NA
ENSMUSG00000029861.17,2.05181653657172,-1.28932823100908,2.19302841909702,-0.587921351032905,0.556585084539604,NA
ENSMUSG00000045392.8,2.57002710253863,-1.28963258764136,3.81175070060811,-0.338330779984015,0.735113930854912,NA
ENSMUSG00000028036.6,2.04654343485786,-1.2970339534047,3.72559558712891,-0.34814137043904,0.727734016240387,NA
ENSMUSG00000039385.5,2.10841350882574,-1.36584255145733,3.70751626841498,-0.368398262495353,0.712576292833619,NA
ENSMUSG00000030117.5,2.22899757237012,-1.46773388918371,3.76566171541959,-0.389767854922722,0.696708215621124,NA
ENSMUSG00000043664.7,2.29023642945973,-1.50188228895471,2.25850752445603,-0.664988835632261,0.506057633891496,NA
ENSMUSG00000095654.2,2.36805159199216,-1.55752425934468,3.8280593113555,-0.406870461678706,0.684103131788051,NA
ENSMUSG00000078772.2,2.55297329610505,-1.57254437535316,1.38349370328659,-1.13664729490092,0.255685760407727,NA
ENSMUSG00000072419.5,2.381779106655,-1.58253933330497,2.2564737256067,-0.701332931709395,0.483095266581991,NA
ENSMUSG00000059213.7,2.41992001005019,-1.60134831832862,3.80731429152643,-0.420597879689781,0.674048742289207,NA
ENSMUSG00000069266.5,1.81588683285506,-1.60628414327012,3.59183863528884,-0.447203871434761,0.654727866379168,NA
ENSMUSG00000029618.13,2.42118244380674,-1.60929984103535,3.77634973127814,-0.426152225178218,0.669996927134363,NA
ENSMUSG00000039873.4,2.42118244380674,-1.60929984103535,3.77634973127814,-0.426152225178218,0.669996927134363,NA
ENSMUSG00000022510.14,2.41145170988239,-1.62036399462814,3.8009451015393,-0.426305550683153,0.669885213779521,NA
ENSMUSG00000089753.9,1.8095356077292,-1.62456571285654,3.58501828669233,-0.453154093770447,0.650437785871487,NA
ENSMUSG00000056148.8,2.41271414363894,-1.62831752336812,3.76986590679295,-0.431929825523513,0.665792416779438,NA
ENSMUSG00000074627.11,2.0435187711242,-1.67692254795855,1.59710328269497,-1.04997752251119,0.293728447220234,NA
ENSMUSG00000094338.1,2.00453297205825,-1.68313717800406,1.1275509413717,-1.49273714938012,0.135506004963621,NA
ENSMUSG00000047787.8,2.58840079782376,-1.71580145875149,2.27961266031738,-0.752672367819106,0.451646818564855,NA
ENSMUSG00000036826.14,2.57333276121334,-1.72456020185581,3.80310551690509,-0.453461044977586,0.65021678788986,NA
ENSMUSG00000059327.9,2.60237414756245,-1.73924151129485,3.82451973356217,-0.454760762778158,0.649281361293175,NA
ENSMUSG00000107906.1,2.16084337752297,-1.76483356931061,1.59919299724236,-1.10357759967301,0.269776412605589,NA
ENSMUSG00000017491.9,1.38388158367789,-1.77376971468336,1.78897413187857,-0.991501041337448,0.321440984124181,NA
