,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000021348.3,1429.74753534854,-13.9460765879682,1.61430240872434,-8.63907314552591,5.66708857834828e-18,1.35875652592059e-15
ENSMUSG00000056457.6,1605.52471874551,-14.1133563046405,1.64874941285578,-8.56003719825129,1.12831110312387e-17,2.61657194504758e-15
ENSMUSG00000021345.16,3961.32620045798,-15.4162799654945,1.80332123437007,-8.54882628323269,1.2434650429416e-17,2.83710588668579e-15
ENSMUSG00000021441.4,2387.65035464378,-14.6858957088921,1.72176263951145,-8.52957043664228,1.46892137116261e-17,3.29831138356607e-15
ENSMUSG00000073530.11,2060.74505795248,-14.4734734906415,1.71277430150273,-8.45030981486755,2.90530821125001e-17,6.2270439327792e-15
ENSMUSG00000070799.4,1786.29391662102,-14.2672763610942,1.69564611464326,-8.41406484400538,3.96041607606414e-17,8.36179788238856e-15
ENSMUSG00000040522.5,437.418586573773,-1.86923273969534,0.2223184758199,-8.40790551843115,4.17397160765048e-17,8.68308858262113e-15
ENSMUSG00000004110.17,135.229874355492,-1.85127882577873,0.220520677125982,-8.39503510467229,4.65755071849075e-17,9.54865398025654e-15
ENSMUSG00000067199.4,430.524843380227,-1.44017320884573,0.172226866127202,-8.36207057139422,6.162696009705e-17,1.24539282504696e-14
ENSMUSG00000031377.11,5247.7945328128,-1.4713298966212,0.176303118269268,-8.34545588906734,7.09396949544124e-17,1.41339848566918e-14
ENSMUSG00000049382.10,1667.35412875571,-9.72305958572955,1.1700373684267,-8.31004192524528,9.56682666510883e-17,1.87961569450874e-14
ENSMUSG00000055360.13,1087.13462937484,-13.5508435534458,1.64409960362518,-8.24210621033342,1.69205258985904e-16,3.19143679148613e-14
ENSMUSG00000028965.13,609.25735883953,-5.96217332992456,0.724325603736598,-8.23134416230399,1.85124246451462e-16,3.44574682934524e-14
ENSMUSG00000038459.10,997.420954874307,-1.56542867246639,0.190553222522582,-8.21517816252558,2.11849489987239e-16,3.89197777319414e-14
ENSMUSG00000025916.10,388.377368796376,-1.76469558842503,0.215357918347086,-8.19424519873432,2.52170544842165e-16,4.57333913761188e-14
ENSMUSG00000070798.4,903.240203499719,-13.2834941592686,1.6352193013046,-8.12337167783604,4.53408096642322e-16,7.91840856185468e-14
ENSMUSG00000018259.13,1026.93400976975,-13.4686644708219,1.66075290968198,-8.10997493504376,5.06302047866675e-16,8.73432776722193e-14
ENSMUSG00000073888.13,43.0286597909819,-3.35519513640549,0.414118582178401,-8.10201541489893,5.40560923471949e-16,9.21298171498095e-14
ENSMUSG00000079092.4,592.080313725705,-12.6742031007024,1.5647903741864,-8.09961724572356,5.51323699558427e-16,9.28455363565893e-14
