,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000027765.6,632.457803968313,-2.36656180943106,0.406402117738036,-5.82320245426609,5.77305504755439e-09,1.56333452656587e-07
ENSMUSG00000030966.13,498.342212445061,-1.50897842183635,0.259378143171637,-5.81767763229695,5.96708376448675e-09,1.59765302897273e-07
ENSMUSG00000022114.5,97.3241597425831,-1.54909877745981,0.267082375287992,-5.80007863038298,6.62838311759962e-09,1.76146808072927e-07
ENSMUSG00000032841.15,1165.37651810048,-1.8475749987905,0.318638694582626,-5.79833846360242,6.69751732672744e-09,1.77652582498893e-07
ENSMUSG00000063193.9,7265.3624159812,-1.38074379930436,0.239070731230801,-5.77546148035734,7.6742455939468e-09,2.00941092353269e-07
ENSMUSG00000038976.12,5103.99439116118,-1.00363173021918,0.173891534437281,-5.77159626238831,7.85240788342371e-09,2.04852926541186e-07
ENSMUSG00000021820.18,3393.293284563,-1.10666649757741,0.192109093038691,-5.76061486769147,8.38080719408232e-09,2.16261263899472e-07
ENSMUSG00000047583.9,78.1378939060813,-1.92617994675451,0.335397607527827,-5.74297461735682,9.3027676078266e-09,2.35780465846765e-07
ENSMUSG00000022218.16,2505.59229562988,-2.03141415067999,0.355587149649557,-5.71284466461181,1.11103087012286e-08,2.76187150332112e-07
ENSMUSG00000068580.11,540.542889059007,-1.4828329774838,0.259668947499308,-5.71047478631518,1.12661428163646e-08,2.79573063199123e-07
ENSMUSG00000024209.9,35.163603608981,-2.01715803556155,0.354407980072582,-5.69162702021675,1.25834493270669e-08,3.08500261987505e-07
ENSMUSG00000048755.9,166.651431581636,-2.02067958938922,0.360253584194589,-5.609047843082,2.03442782349398e-08,4.72730667501603e-07
ENSMUSG00000041954.18,235.446666183631,-2.66683946134732,0.478521518529076,-5.57308158167034,2.50272296360705e-08,5.73131606006734e-07
ENSMUSG00000009772.15,1776.30950589654,-2.55831431111237,0.460408736438846,-5.55661547802141,2.75055773413063e-08,6.25861731069596e-07
ENSMUSG00000078515.4,4712.37732719887,-2.19398202469253,0.395578172624996,-5.54626664594156,2.91833665884558e-08,6.60161936882754e-07
ENSMUSG00000069678.10,159.772875868893,-1.12308755184088,0.203093978226574,-5.52989094825822,3.2042992182941e-08,7.19905963176359e-07
ENSMUSG00000044197.8,793.681791446345,-2.84789755455453,0.519570601191583,-5.48125230338891,4.22325695056441e-08,9.21226217516683e-07
