,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000001507.16,8.59051390269454,-6.53700458965714,1.37133281735828,-4.7668986747141,1.87083335503076e-06,0.00118825785129165
ENSMUSG00000054364.5,34341.2820403762,-1.01625042132936,0.216218969455297,-4.70009834886144,2.60036226726118e-06,0.00140835620394865
ENSMUSG00000018740.14,7.96730540490039,-6.40493876624586,1.37809481587311,-4.64767640983246,3.35694972247503e-06,0.00171871338389327
ENSMUSG00000078620.1,7.30879538787901,-6.29272298221584,1.36620533316031,-4.60598625219791,4.10515511885142e-06,0.00198513572533029
ENSMUSG00000095280.1,46.4633945853966,-8.96010123169163,2.08777312790998,-4.29170253793877,1.77308371535655e-05,0.00706104514880224
ENSMUSG00000021453.2,3104.45604146228,-1.49289857152889,0.349451137575977,-4.27212394237608,1.93619902407395e-05,0.00749032422456036
ENSMUSG00000036330.12,4.08203552019875,-5.460411371186,1.32042179674243,-4.13535385787877,3.54408099335254e-05,0.0117041113780472
ENSMUSG00000000753.15,8.4858958259062,-6.50358904099003,1.58230746172868,-4.1101929923814,3.953285689446e-05,0.0127446400559759
ENSMUSG00000039063.5,4.74842143706865,-5.65327464087903,1.40623385399482,-4.02015256909031,5.81604634822933e-05,0.01749983723445
