,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000042349.13,3060.07582003171,2.54594701341897,0.0566623284242703,44.9319165699597,0,0
ENSMUSG00000022534.14,10130.7677344795,2.76584587581282,0.0933802007348996,29.6191896573972,8.46021450719154e-193,6.02536477202181e-189
ENSMUSG00000024843.15,4608.8833979583,4.067633969094,0.139089101009003,29.2448073902692,5.22763309173151e-188,2.48208019195412e-184
ENSMUSG00000000555.8,3327.31372031561,4.06683887926806,0.140793336119076,28.8851659557844,1.83372860023383e-183,6.52990754543268e-180
ENSMUSG00000044350.14,682.478877442116,5.86867985674876,0.220651495752774,26.5970544941343,7.34206498861683e-156,2.09160747395716e-152
ENSMUSG00000031155.16,872.37698521234,5.31006101652472,0.212745911953251,24.9596383205312,1.67822216987454e-137,3.98409943128215e-134
ENSMUSG00000030162.14,4705.7858822859,4.83657497330819,0.214355327188942,22.5633532729748,9.9302630012264e-113,2.02066665984956e-109
ENSMUSG00000027293.13,1951.36285997354,3.29882471692658,0.152771469781753,21.593198793199,2.08099147757256e-103,3.70520532581793e-100
ENSMUSG00000046688.14,1457.25558443812,4.48439599870719,0.21313494194642,21.0401727551296,2.81351072923943e-98,4.45284964747627e-95
ENSMUSG00000031444.16,1973.57790004752,3.8910260159483,0.193114956334823,20.1487553827888,2.75965183692986e-90,3.57349825138445e-87
ENSMUSG00000020400.17,20090.6349357099,3.46027486367618,0.179554677818232,19.271426986598,9.3326972792799e-83,1.10779116705052e-79
ENSMUSG00000030789.9,1711.78254149226,2.5105567514813,0.130579738208383,19.2262351412812,2.23259467438773e-82,2.44623681092144e-79
ENSMUSG00000021936.14,629.123201060735,2.04443803110752,0.109447205661989,18.6796731697424,7.24614386385836e-78,6.98378227157731e-75
ENSMUSG00000029490.4,1094.00138416073,4.30525644196749,0.232237920089966,18.5381286583159,1.01699281811008e-76,9.05377856322501e-74
ENSMUSG00000037405.8,10894.5255211201,6.70670209791282,0.377693074879229,17.7570163288203,1.52108405857252e-70,1.27448949001806e-67
ENSMUSG00000069662.5,12674.3407428762,1.60441215238835,0.0908293337075208,17.6640308466284,7.93641930153296e-70,6.28035314061308e-67
ENSMUSG00000024070.15,18565.5789647526,3.35210874740167,0.190803133096554,17.5684156386749,4.30014706087613e-69,3.22375235447998e-66
ENSMUSG00000041598.7,4197.69539179393,3.92176746661428,0.22705417219226,17.2723867117204,7.59359507054549e-67,5.4081584092425e-64
ENSMUSG00000017677.11,13764.4889551818,2.26235228925333,0.141119944271556,16.0314142762125,7.71077105313172e-58,5.23010585146706e-55
ENSMUSG00000026437.11,455.093211733762,4.80862132927351,0.305845197790184,15.7224025880319,1.0621820109731e-55,6.87714571104586e-53
ENSMUSG00000024235.11,13791.2866883642,4.14360312083237,0.266453796459654,15.5509254358092,1.56823275244742e-54,9.71213361993957e-52
ENSMUSG00000020300.14,10302.9752520921,2.06799447607594,0.133479407278706,15.4929851595606,3.86900808170731e-54,2.29625629649329e-51
