,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000030708.14,144.562994870221,-3.63915548266358,0.414608453898408,-8.77733063193952,1.67400328993882e-18,3.53763976506602e-16
ENSMUSG00000024942.17,27592.1046779927,-1.20638297636321,0.138441146066549,-8.71404933171603,2.93208686906886e-18,6.00855680366005e-16
ENSMUSG00000031400.10,66129.2544769034,-1.77581047395612,0.205605118986329,-8.6369954343121,5.77106896333271e-18,1.14784864307463e-15
ENSMUSG00000073471.3,951.513895873379,-2.10214631544072,0.245012552546837,-8.57974946013784,9.50800053263867e-18,1.83708153148483e-15
ENSMUSG00000026357.3,3032.3856540028,-2.58108329342671,0.301727709003202,-8.55434624136333,1.1853860939028e-17,2.2267148500049e-15
ENSMUSG00000021185.16,338.58296630932,-1.53321341895955,0.180672006090394,-8.48617033782451,2.13558341692891e-17,3.90321158296804e-15
ENSMUSG00000074886.11,18063.339920685,-1.69060248245744,0.199648356085865,-8.46790084126882,2.49854867054119e-17,4.50571610254261e-15
ENSMUSG00000117748.1,96.874016502019,-6.15138464541076,0.727320742071867,-8.45759551403381,2.72946958751471e-17,4.85737844357059e-15
ENSMUSG00000037759.6,660.405349448654,-1.24207791298479,0.148170150131292,-8.38278095746143,5.16916178389902e-17,9.07959910743302e-15
ENSMUSG00000026180.8,42093.781357682,-2.94202852967718,0.354459547301353,-8.30004030664728,1.04076078966485e-16,1.73781354076755e-14
ENSMUSG00000054920.12,2756.1050490022,-1.42322373312958,0.171774761847842,-8.28540652782434,1.17706324940252e-16,1.94143664002063e-14
ENSMUSG00000025786.17,10773.522019591,-1.50828814129449,0.182439638242661,-8.26732696810287,1.36995863146656e-16,2.1544988942541e-14
ENSMUSG00000000056.7,3437.83027467023,-2.86122764442164,0.346631431456874,-8.25438025742804,1.52692479372511e-16,2.34677929944683e-14
ENSMUSG00000026504.17,1101.73968236581,-1.69289780207062,0.205481399830876,-8.23869120739873,1.74104647794541e-16,2.64580377687772e-14
ENSMUSG00000037300.19,1974.91561707823,-1.62059388800623,0.197054456211068,-8.2240915489391,1.96675829925092e-16,2.92312153817239e-14
ENSMUSG00000040528.15,4404.50276120665,-2.00344412029974,0.244004054774604,-8.21070011377637,2.19902478981169e-16,3.23280546545686e-14
ENSMUSG00000046806.13,558.232900085401,-1.67991497864194,0.204739276825072,-8.20514268045035,2.30317196895469e-16,3.3495054709798e-14
ENSMUSG00000036941.2,1360.7583876918,-2.2879971229804,0.282022242053924,-8.11282509605368,4.94562335017645e-16,7.04100587485647e-14
ENSMUSG00000026354.8,147.412001539107,-3.43922249105085,0.427220972019165,-8.05021924554905,8.26458515559215e-16,1.15235581679777e-13
ENSMUSG00000029366.10,5727.39448888638,-2.41617494282923,0.301032538834178,-8.02629161680149,1.0046325309181e-15,1.37249040208761e-13
ENSMUSG00000032526.11,529.221573648577,-1.82387447244023,0.228961671957327,-7.96585060219228,1.64091092530923e-15,2.19735844206014e-13
ENSMUSG00000021615.13,488.116864427279,-1.48887509307232,0.189115523857631,-7.87283382507071,3.46697023532548e-15,4.30190572777771e-13
ENSMUSG00000039671.18,2656.83822777218,-1.28173962932705,0.163575972524865,-7.83574512529472,4.66070437879449e-15,5.67892132641401e-13
ENSMUSG00000020718.12,317.117317616749,-2.81754173770339,0.359949481115126,-7.82760327636707,4.9725812877146e-15,6.00483588538749e-13
ENSMUSG00000033114.11,1088.90420204406,-1.91965082245241,0.245351604224294,-7.82408098989854,5.1137878757775e-15,6.06701587893778e-13
ENSMUSG00000037344.14,1915.25514838225,-1.86457215703511,0.241690451879206,-7.71471170059708,1.21256010324901e-14,1.37814078961705e-12
ENSMUSG00000050600.5,802.04083769867,-2.54937846230705,0.33332917155243,-7.64823087770478,2.03763128446577e-14,2.25893140347537e-12
ENSMUSG00000042032.13,4589.38157591006,-1.07921838786752,0.142416941555924,-7.57787926125164,3.51249040174779e-14,3.77035180028879e-12
ENSMUSG00000022075.7,854.338410712375,-3.06275257430794,0.407902420893813,-7.50854228223678,5.9789376276037e-14,6.22039472410308e-12
ENSMUSG00000033985.17,2633.24266064523,-1.54963134382371,0.20710322740075,-7.48241040602004,7.29716415827468e-14,7.50521476523184e-12
ENSMUSG00000026433.13,653.596310790068,-1.443901174411,0.193991096299022,-7.44313116404756,9.83263713289995e-14,9.77841303106410e-12
ENSMUSG00000022664.11,5255.94178167163,-1.82798154472383,0.246438193018022,-7.41760650951595,1.19255778050605e-13,1.17732437820031e-11
ENSMUSG00000004565.15,773.821238440212,-1.32566944020554,0.179382343631101,-7.39018909760577,1.4662014577868e-13,1.42664566306233e-11
ENSMUSG00000020325.10,241.011916918343,-2.93709140964891,0.400059638516849,-7.34163391372762,2.11001887520901e-13,2.00971868219731e-11
